name,rarity,description
Aoratotitas,L'elmo di Ade,Questo elmo fu rubato dal re elfico molti millenni fa quando visitò l'Ade. Gli elfi per aver vinto questo premio si sono guadagnati una vita assurdamente lunga e la morte stessa sembra non afferrarli mai completamente. Questo elmo è indossato solo dal re elfico e Ade farà di tutto per riaverlo.
Arco lungo dei Signori degli Elfi dei Boschi,"Arma (Arco lungo), artefatto (Richiede la sintonizzazione da parte di un elfo dei boschi)",Un arco lungo decorato dai primi grandi uomini e donne della razza degli Elfi dei Boschi.
Arma da Lancio Ritornante,"Oggetto Meraviglioso (qualsiasi arma con la proprietà di lancio), Non Comune","Quest'arma +1 quando viene lanciata contro un nemico, un oggetto, ecc... ritorna nelle mani di chi l'ha lanciata"
Armatura della Driade,"Armatura (leggera, media o pesante), rara (richiede sintonia)","Questa armatura sfrutta il potere della foresta. Un'armatura di piastre di legno fatte con gli alberi più pregiati ricopre tutto il tuo corpo mentre indossi questa armatura. Il peso dell'armatura dipende dalla taglia dell'utilizzatore. Quando indossi questa armatura, la tua CA è aumentata di 2. Mentre indossi questa armatura, hai un vantaggio nei tiri salvezza contro la caduta a terra. Per le creature minuscole, questa armatura pesa 1/4. Per le creature piccole e medie, il peso di questa armatura è normale. Per le creature grandi, quest'armatura pesa 4 volte tanto."
Arco della Radiosità,"Arma (arco lungo), non comune",Questo arco lungo sfrutta il potere del sole.
Arco della Tempesta,"Arma (arco lungo), non comune",Questo arco lungo sfrutta il potere di una tempesta.
Artigli dell'Umber Hulk,"Oggetto meraviglioso, raro (richiede sintonia)","Questi pesanti guanti di ferro marrone sono forgiati a forma di artigli di Umber Hulk d'ambra, e si adattano alle mani e agli avambracci di chi li indossa fino al gomito. Mentre indossando entrambi gli artigli, ottieni una velocità di scavo di 7,5 metri e puoi scavare un tunnel attraverso la roccia solida alla velocità di 0,3 metri per round. Puoi usare un artiglio come arma da mischia mentre lo indossi. Hai padronanza con esso e infligge 1d8 danni da taglio (il tuo modificatore di Forza si applica all'attacco e ai tiri per i danni, come di consueto)."
Artefatti KH,I possessori di Keyblade possono infondere i loro keyblade con manufatti rari noti come Keyblade. La forma dei loro Keyblade cambia a seconda del portachiavi allegato e ottengono determinati poteri. Per attaccare un portachiavi a un Keyblade è necessario eseguire un rituale di un'ora che fonde il portachiavi nel portachiavi. Ogni Keyblade può avere solo 1 Portachiavi attaccato alla volta. Il tentativo di allegare un secondo portachiavi costringerà il primo portachiavi a uscire.,Il Keyblade attaccato infligge un ulteriore dado di danni contundenti.
Artigli di Ade,"Arma (Artigli), artefatto (Richiede sintonia)","Una volta usato con il suo nome dal dio greco Ade, questi artigli non servono solo per evocare le anime in battaglia. Si dice che questi artigli strappino le anime di tutte le creature. Entrambi gli artigli sono collegati ad un guanto che si attacca magicamente alle mani e alle braccia. Sono l'equivalente di una spada corta +2"
Bacchetta Temporale,"Bacchetta, leggendaria (maggiore) (richiede sintonia)","Questa bacchetta ha un orologio funzionante innestato al centro del fusto. Quando viene impugnata, fa sì che chi la impugna sembri spostarsi e luccicare come se fosse presente e non presente. Questa bacchetta ha 18 cariche e recupera 1d8 + 3 cariche al giorno all'alba. Mentre sei in sintonia con la bacchetta e la brandisci, spendi delle cariche per causare uno o più dei seguenti effetti:"
Bacchetta dei Doppi Incantesimi,"Bacchetta, Leggendaria (richiede la sintonizzazione da parte dell'incantatore)","Queste due bacchette di ebano possono essere brandite due volte. Possono essere usate come fuoco arcano. Quando l'incantatore lancia un incantesimo e usa queste bacchette come fuoco arcano, è in grado di usare la sua azione bonus per copiare gli effetti dell'incantesimo lanciato."
Bastone di Ade,"Bastone, leggendario (richiede sintonia)","Questo bastone ha cinque cariche. Per consumare una carica, l'utilizzatore effettua un tiro di attacco con il proprio bonus da incantatore, infliggendo 3d8 danni da fuoco a un bersaglio entro 18 metri. Se il bastone colpisce un bersaglio in grado di infliggere pazzia, il bersaglio deve superare un tiro salvezza di Saggezza basato sulla CD dei tiri salvezza dell'incantatore o diventerà Pazzo, ottenendo un effetto dalla tabella della Follia a breve termine. Il bersaglio può ripetere questo tiro salvezza alla fine di ogni suo turno, terminando l'effetto con un successo. Quando si consuma l'ultima carica del bastone, il suo utilizzatore deve effettuare lo stesso tiro salvezza."
Bracciale della Dominazione dei Mostri,"Anello, leggendario (richiede sintonizzazione (per 2d12 ore tira 1d20 Tiro salvezza di Saggezza ogni due ore per prevenire la pazzia dopo aver resistito con successo al tempo in cui sarai sintonizzato))","Il bracciale del dominio mostruoso è un anello di bronzo opaco che viene indossato sulla testa con una strana gemma rotonda a forma di occhio di tarrasque sul lato che si affaccia sul davanti, nient'altro appare fuori dall'ordinario a parte il fatto che l'occhio si guarda intorno e sbatte le palpebre, ma chi è in sintonia con il potere psionico può sentire un'energia opprimente irradiarsi dall'occhio. In presenza di una mostruosità, il cerchietto guarderà verso la mostruosità e tu sentirai un'attrazione verso di essa impedendoti di essere sorpreso dalle mostruosità e quando affronti una mostruosità non intelligente di un livello superiore a qualsiasi livello inferiore al tuo puoi usare la singola carica nel cerchietto per iniziare una prova di Intimidazione contro il tiro salvezza di Saggezza della mostruosità per dominare la sua mente e gli istinti. In caso di successo, la mostruosità si rannicchierà davanti a te e si sottometterà alla tua volontà costringendola a diventare il tuo famiglio, ma non potrai recuperare la carica finché non rilascerai o scaccerai la mostruosità che è attualmente legata al bracciale."
Boomering,"Anello, molto raro","Se lanci un'arma con la proprietà ""lanciato"" mentre indossi questo anello, lasciando il braccio teso l'arma tornerà nella tua mano dopo."
Borsa dei Trucchi Varianti,"Oggetto meraviglioso, non comune","Questa normale borsa sembra vuota. Tuttavia, allungare la mano all'interno del sacchetto rivela la presenza di un piccolo oggetto croccante. Il sacchetto pesa 0,5/1 kg. Puoi usare un'azione per estrarre l'oggetto croccante dal sacchetto e lanciarlo fino a 6 metri. Quando l'oggetto atterra, si trasforma in una creatura che determini tirando un d8 e consultando la tabella che corrisponde al colore del sacchetto. La creatura svanisce all'alba successiva o quando è ridotta a 0 punti ferita. La creatura è amichevole con te e i tuoi compagni e agisce al tuo turno. Puoi usare un'Azione Bonus per comandare come la creatura si muove e quale azione compie nel suo prossimo turno, o per darle ordini generali, come attaccare i tuoi nemici. In assenza di tali ordini, la creatura agisce in modo appropriato alla sua Natura. Una volta che tre Oggetti Croccanti sono stati estratti dalla borsa, la borsa non può essere usata di nuovo fino all'alba successiva."
Cintura dei Fulmini di Zeus,"Oggetto meraviglioso, non comune (richiede sintonizzazione)","Una robusta cintura marrone rame foderata di monete con incisi nuvole temporalesche e fulmini stilizzati. La cintura crea e contiene fino a 6 dardi magici a forma di saetta. Un colpo con uno di questi dardi magici infligge 1d10 danni extra da fulmine. Dopo un colpo riuscito, il dardo scompare."
Copy Cat,"Oggetto meraviglioso, leggendario (richiede sintonizzazione)","Questo articolo sembra una statuetta di gatto decorata. Come azione, puoi posizionare la statuina nello spazio vuoto entro 1,5 metri da te, il che fa sì che la statuina si trasformi in un gatto che ti è amico. Il gatto è identico a un gatto normale, fatta eccezione per le seguenti caratteristiche:"
Cuffia di Rovi,"Oggetto meraviglioso, non comune","Questa cuffia verde a forma d'orecchio afferra e si avvolge magicamente attorno al tuo orecchio mentre lo indossi. Puoi usare un'azione per pronunciare la parola di comando del bracciale e gettarlo a terra in un punto che puoi vedere entro 30 piedi da te. Il bracciale poi si frantuma, distruggendolo, e cresce immediatamente in una massa di viti e spine contorte in una delle seguenti forme a tua scelta:"
Diario Scarabocchiato,"Wondrous Item (Spell Book), artifact (richiede la sintonizzazione da parte di una creatura con almeno uno slot incantesimi di 1° livello)","Questo tomo sembra essere un diario rituale e senza senso contenente solo folli vaneggiamenti e inquietanti scarabocchi di orrori da incubo. Non si sa chi sia l'autore di questo diario, ma si sa che era un incantatore incredibilmente potente, anche se pazzo."
Diplomazia,"Oggetto Meraviglioso, Non Comune","Come attacco di tocco, Diplomazia infligge 3d6 danni da fulmine e, se il bersaglio fallisce un tiro salvezza di Costituzione, rimane stordito per un round. Tuttavia, il guanto ha anche una bassa probabilità di fallimento catastrofico ad ogni utilizzo."
Doritisgis,Il Kanabo della Terra Madre Gaia,"Questa grande mazza fu trovata dallo shogunato sulla loro isola 10.000 anni prima. Nessuno sa come è stata fatta, ma la sua forma cambia in base alla cultura della civiltà che la impugna. Una cosa è certa, Gaia ha benedetto l'arma per formare la terra ad ogni colpo."
Egida,"Armatura (Scudo), artefatto (Un dono di Atena che solo il ricevente poteva usare).","L'Egida, come affermato nell'Iliade, è portata da Atena e Zeus, ma la sua natura è incerta. È stata interpretata come una pelle di animale o uno scudo, a volte con la testa di una Gorgone. Potrebbe esserci una connessione con una divinità chiamata Aex o Aix, una figlia di Helios e una nutrice di Zeus o in alternativa un'amante di Zeus (Hyginus, Astronomica 2. 13). L'egida di Atena è menzionata in diversi punti dell'Iliade. ""Essa produceva un suono come quello di una miriade di draghi ruggenti (Iliade, 4.17) ed era portata da Atena in battaglia ... e in mezzo a loro andava Atena dagli occhi luminosi, tenendo la preziosa egida che non ha età ed è immortale: cento nappe d'oro puro pendono da essa, intrecciate strettamente, e ciascuna del valore di cento buoi. ""Virgilio immagina i Ciclopi nella fucina di Efesto, i quali ""bruniscono l'egida che Atena indossa nei suoi stati d'animo di collera - una cosa spaventosa con una superficie d'oro come una pelle squamosa di serpente, e i serpenti collegati e la stessa Gorgone sul petto della dea - una testa mozzata che rotea gli occhi"", fornita di fiocchi d'oro e recante il Gorgoneion (la testa di Medusa) nel capo centrale. Alcuni pittori di vasi attici hanno mantenuto una tradizione arcaica secondo la quale le nappe erano state originariamente serpenti nelle loro rappresentazioni dell'egida. Quando le divinità dell'Olimpo superarono le divinità più antiche della Grecia e lei nacque da Metis (dentro Zeus che aveva inghiottito la dea) e ""rinacque"" attraverso la testa di Zeus completamente vestita, Atena indossava già le sue vesti tipiche. Quando l'Olimpo scuote l'egida, il monte Ida è avvolto dalle nuvole, il tuono rotola e gli uomini sono colpiti dalla paura. ""Zeus che porta l'egida"", come è nell'Iliade, a volte presta la temibile egida ad Atena. Nell'Iliade, quando Zeus manda Apollo a rianimare Ettore ferito, Apollo, tenendo l'egida, carica gli Achei, spingendoli indietro verso le loro navi tirate sulla riva. L'Egida è uno scudo d'oro ornato di lapislazzuli blu; brilla di una luce dorata brillante ed è decorato con la Titanomachia all'esterno e la storia degli dei all'interno. Al centro è incastonata una maschera di bronzo di Medusa."
Elmo degli Eroi,"Oggetto meraviglioso, raro (richiede sintonia)","Mentre indossi questo elmo, ottieni un bonus di +1 alla CA se non indossi un'armatura. Puoi comunque usare uno scudo e ottenere questo vantaggio. Inoltre, pur non indossando nessun'altra armatura, l'elmo diventa soffuso di gloria e bagliori per un minuto ogni volta che metti a segno un colpo critico con un attacco con un'arma. Mentre sei sotto questo effetto, guadagni punti ferita temporanei all'inizio di ogni tuo turno pari alla metà del tuo livello del personaggio e le creature amiche entro 3 metri da te non possono essere spaventate."
Fiasca del Viaggiatore,"Oggetto meraviglioso, Comune",Questa fiasca di ferro a doppia faccia regola la temperatura dei liquidi che vi si versano. Qualsiasi liquido versato dal lato blu tappato diventa fresco e rinfrescante. Qualsiasi liquido versato dal lato con il tappo rosso diventa piacevolmente caldo.
Fiasca di Alcol Perpetuo,"Oggetto meraviglioso, non comune","Questa dettagliata fiaschetta di platino è incantata per contenere una fonte magica di alcol piuttosto forte. Quando viene aperta e versata, questa fiaschetta produce fino a 1 gallone di whiskey scuro e salmastro. Una volta svuotata, la fiasca si riempie in 1 ora."
Folgore,"Arma (lancia), artefatto (richiesto dal campione di Zeus)","Questo è il fulmine di Zeus, forgiato dai ciclopi per Zeus per uccidere Crono. Da quando la pace è giunta sull'Olimpo, Zeus ha pensato bene di infondere ai fulmini delle sue statue un grande potere, qualora emerga un campione che lui ritenga degno. Zeus cerca un campione che protegga i deboli mentre sfida i forti. Effettuando con successo una prova di Religione a CD 24 otterrai una visione di Zeus. Se ti riterrà degno e supererai la sua sfida, potrai brandire la Folgore. La sfida consiste nello sconfiggere una creatura di GS 22 o 23. Se fai parte di un gruppo, possono assisterti nella lotta contro la creatura. Dopo aver sconfitto la creatura, ti verrà concessa una lancia a forma di saetta lunga un metro e mezzo con rune dorate che corrono da punta a punta."
Freccia Stand,"Arma (Freccia), Raro","Un'antica freccia ornata forgiata da un metallo sconosciuto. Secondo le leggende, molto tempo fa, un uomo desiderò il potere degli dei. Il giorno dopo si svegliò e scoprì che una grande meteora si era schiantata nelle vicinanze. Dopo essere entrato in contatto con essa, fu in grado di manifestare un potere, il primo Stand! Forgiando 12 frecce dalla meteora, ne sentì il potere, diventando il capo di un clan incredibilmente potente. Nel corso dei secoli, si sono persi. La storia divenne storia, la storia divenne mito e il mito divenne leggenda. Tuttavia, se venissero riportati alla luce, una nuova era dell'uomo avrebbe inizio..."
Fulmine di Zeus,"Arma (giavellotto), leggendaria (richiede sintonia)","Il giavellotto era l'arma che l'Arimaspos fece per Zeus, nella guerra contro i Titani. Questo giavellotto è il più potente artefatto degli dei. Grande e pesante, può essere maneggiato correttamente solo da coloro che sono benedetti da Zeus."
Furia di Apollo,"Arma (qualsiasi arco), leggendario (richiede sintonia)",L'Ira di Apollo è una benedizione applicata a qualsiasi arco posseduto da un avventuriero ritenuto degno dal Dio. Quest'arma ha un bonus di +2 ai tiri di attacco e di danno effettuati con quest'arma magica.
Gemma Prismatica del Danno,"Oggetto meraviglioso, non comune (richiede sintonia)","Questa gemma trasparente grande quanto una mela permette all'utilizzatore di cambiare la tipologia del danno di qualsiasi incantesimo nocivo che egli sia in grado di lanciare. Ogni volta che infliggi danni da acido, freddo, fulmine, fuoco o veleno con un incantesimo, puoi cambiare il tipo di danno dell'incantesimo con un altro di quelli sopra elencati."
Giara Alchemica Variante,"Oggetto meraviglioso, non comune","Questa giara di ceramica sembra poter contenere 4 litri di liquido e pesa 6 kg, piena o vuota che sia. Quando viene agitata, dal suo interno si sente l’acqua sciabordare, anche se la giara è vuota. Un personaggio può usare un’azione per nominare un tipo di liquido presente nella tabella sottostante per far sì che la giara produca il liquido in questione. Fatto questo, con un’altra azione può stappare la giara e versare il liquido in essa contenuto, al ritmo di 8 litri al minuto. La quantità massima di liquido che la giara è in grado di fornire dipende dal tipo di liquido richiesto. Quando la giara comincia a produrre un liquido, non può produrne altri, né una quantità maggiore di uno che ha raggiunto il suo massimo, prima dell’alba successiva."
Giudizio del Mago,"Arma (spadone), rara (richiede sintonia)","Una volta utilizzata durante l'Era di Arcanum per giustiziare gli utilizzatori di magia condannati per gravi crimini, questa enorme lama è stata a lungo ritenuta persa nelle sabbie del tempo."
Guanti del Contenimento Magico,"Oggetto meraviglioso, comune",Questi guanti permettono a che li indossa di infliggere danni non letali ai bersagli colpiti dagli incantesimi dell'incantatore
Guanti di Alante,Arma (Guanti) Raro (Richiede l'aiuto di una creatura con un punteggio di forza di almeno 16),1d10 +danni contundenti + 1d6 danni da forza + mod di For
Guanto dell'Infinito,"Oggetto meraviglioso, leggendario (richiede sintonia)","Un potente artefatto, creato per imbrigliare il potere stesso dell'universo. Pochi sono stati abbastanza fortunati da indossarlo, e ancora meno sono stati abbastanza potenti da raccogliere tutte le gemme che lo alimentano. Spesso il guanto è indossato dai cattivi che cercano il potere di queste pietre per portare il caos nell'universo."
Guanto dei Sette Peccati Capitali,"Arma magica (Guanto), Unico",Un guanto di grande potere che garantisce abilità basate sui Sette Peccati Capitali
Gungnir,"Arma (lancia), Artefatto (richiede sintonia)",Ottieni un bonus di +3 ai tiri per attaccare e infliggere danni con quest'arma magica.
Keyblade,"Arma (qualsiasi spada o mazza), molto rara (richiede sintonizzazione)","Un keyblade è un'arma magica che assomiglia a una grande chiave. Alcuni keyblade possiedono un bordo affilato come una spada, mentre altri sono invece usati per colpire creature come una mazza o una mazza. Si dice che un keyblade possa essere utilizzato per aprire qualsiasi porta e sbloccare qualsiasi serratura."
Heosphorus,La Scimitarra di Apollo il Portatore di Luce,Questo artefatto unico del popolo Na'ir gli è stato donato dopo aver comunicato con Apollo. La sua elsa è stata forgiata con il metallo del carro di Apollo e contiene l'essenza del sole.
L'Occhio di Lucifero,"Oggetto meraviglioso, artefatto (richiede sintonia)","Quando Asmodeus lo depose, Lucifero, l'ex re dei Nove Inferni, fu strappato. Il suo occhio sinistro, contenente la sua malvagità e malizia, fu portato a riva a Faerun quando il suo sangue ribollì e tinse di rosso anche i cieli dell'Inferno per diversi giorni. Il suo occhio rimane nel mondo, passando di mano in mano da malvagio a peggio. Cerca di corrompere tutti coloro che lo guardano e li porta alla follia a commettere il male."
Mantello del Cangiante,"Oggetto meraviglioso, raro","Il cappuccio di questo mantello è l'unica parte normalmente visibile. Come un giro completo, chi lo indossa può attivarlo facendo sì che il cappuccio si chiuda e il mantello scenda fino ad avvolgere il corpo. Quando il cappuccio viene sollevato, il mantello vola via rivelando una trasformazione sorprendente. Gli effetti di alterare se stessi (solo l'effetto ""cambiare aspetto"") e di travestirsi si applicano contemporaneamente, l'effetto non richiede concentrazione e ha una durata di 1 ora. Per discernere che sei travestito, una creatura può usare la sua azione per ispezionare il tuo aspetto e deve riuscire in una prova di Intelligenza (Investigazione) contro la tua CD di salvataggio dell'incantesimo, a meno che tu non abbia alterato drasticamente il tuo equipaggiamento la creatura che ti ispeziona ha svantaggio, nessuna prova è consentita se hai fatto solo piccole modifiche a te stesso. Il DM prende la decisione finale su cosa costituisca un cambiamento drastico o minore."
Maschera del Necromante,"Oggetto meraviglioso (maschera), leggendario (richiede la sintonizzazione da parte di un incantatore che può lanciare un incantesimo di negromanzia di 1° livello o superiore)","L'origine di questa antica maschera si è persa da tempo nella storia. Tuttavia, sin dalla sua creazione, la maschera ha lasciato un segno nella storia attraverso il suo utilizzo da parte di innumerevoli negromanti diversi per far sorgere non morti che attaccano i vivi e per prevenire la loro stessa morte. Molte contraffazioni e sosia sono stati creati nel corso dei secoli, ma si dice che i segni rivelatori della maschera del negromante sono le sensazioni di presagio che gli altri hanno guardando la maschera di legno scuro con le sue striature di nero, rosso e verde. Mentre sei in sintonia con questa maschera, ottieni i seguenti effetti:"
Katana Colpo Perfetto,"Arma (spada lunga), molto rara","Questa katana sembra essere di ottima fattura ma banale a prima vista. Inclinando la lama ad angoli specifici, tuttavia, si rivela un reticolo cremisi di incantesimi runici pronti a scatenare un potenziale mortale con il colpo perfetto."
Katana del Vento,"Arma (spada lunga), molto rara (richiede sintonia)","Si dice che questa katana sia stata il primo dono della dea della brezza a un eroe capace di batterla in battaglia. Essa esibiva il suo potere divino nella sua forma agile e attraverso il suo sottile comando sui venti che soffiano attraverso il mondo. Mentre sembra un'arma di eleganza e grazia, molti eserciti sono caduti per un singolo colpo di questa terrificante lama."
Katana dell'Invisibile,"Arma (Katana), Artefatto (richiede sintonizzazione)","Questa lama può essere usata da chiunque. La lama quando viene vista è fatta di adamantio nero come la pece. Questo oggetto è estremamente raro e può essere ottenuto solo da qualcuno che lo dona, o uccidendo un goblin con un mantello o un anello dell'invisibilità. Quando si ottiene questa spada, non è possibile vederla fino a quando non ci si sintonizza con essa. Una volta fatto, sentirete l'adrenalina scorrere nelle vostre vene. Quando sarai in sintonia, otterrai la vista cieca. Questo oggetto non può essere visto da nessun altro oltre a chi lo possiede."
Katana d'Ombra,"Arma (spada lunga, pesante/accurata) +3 , Raro","In alcune culture questa forte spada a un solo taglio è un simbolo di onore e prestigio. La katana è concepita per l'uso a due mani, ma è abbastanza leggera da poter essere impugnata con una sola mano."
Katana Fantasma,"Arma (katana), artefatto (richiede sintonia)",Una spada leggermente trasparente che sembra avere una lucentezza nera e blu quando esposta alla luce. Hai un bonus di +4 ai tiri di attacco con quest'arma magica.
Katana Ferma Tempo,"Arma, Artefatto (Richiede la sintonia da parte di un nano o di un seguace di Morodin)",Artigianato impeccabile. Quest'arma è il lavoro di una vita di un re nanico da tempo dimenticato e del suo arcimago. Il re e l'arcimago si recarono nel dominio di Morodin. Morodin rimase impressionato dalla maestria della lama e la benedisse. Quest'arma ha le proprietà di un spadone +3.
"Katana Onikiri, Squarta Demoni","Arma (qualsiasi spada), rara (richiede sintonia)","Fortunatamente, questa volta, i samurai erano preparati. Mentre i samurai minori tagliavano i subalterni demoniaci, con radiosi archi di energia che sbocciavano dai loro onikiri per abbattere le orde di miserabili puzzolenti, il loro sensei incrociava tranquillamente lo sguardo con l'enorme demone bulboso. Un cerchio si liberò mentre sia i samurai che i demoni facevano inconsciamente spazio per l'imminente duello. Se il sensei fosse riuscito a mantenere l'attenzione del demone abbastanza a lungo, la giornata sarebbe stata loro."
"Katana Shisui, Taglio d'Acqua","Arma (qualsiasi spada), rara (richiede sintonia)","Maestri del movimento e manipolatori di slancio, i ronin del fiume erano protettori dei corsi d'acqua. La leggenda dice che questi samurai potevano controllare l'acqua con il loro ki, formando scudi, fruste e vortici. Queste lame, note come shisui, davano ai ronin la capacità di evocare l'acqua da brandire anche nei deserti più aridi o sulle cime delle montagne più remote."
Kageyumi,"Arma (arco lungo), Leggendario (richiede sintonia)","Un arco lungo nero forgiato dai drow e benedetto da Zehir. È stato progettato per essere l'arma definitiva per l'assassinio, e nemmeno la sua corda emette un suono quando viene rilasciata."
Kervanos,"Il fulmine di Zeus, l'onnipotente padre della tempesta","Questo fulmine è stato dato ai più ferventi adoratori di Zeus ed è protetto da loro tanto quanto li protegge. Viene tirato fuori solo per il rituale o quando viene eletto un nuovo Gran Sacerdote. I suoi poteri sono ingombranti per tutti, tranne che per i più ferventi credenti."
